#{"t_start": 1720522715.069658, "env_id": "CarRacing-v2"}
r,l,t
-87.255,1000,32.049
-85.612,1000,63.395
-83.969,1000,102.937
-82.325,1000,142.494
-80.682,1000,179.01
-79.037,1000,210.203
-82.524,1000,242.096
-86.01,1000,277.046
-89.496,1000,308.774
-92.982,1000,344.547
-96.467,1000,375.711
-92.713,1000,410.77
-88.958,1000,447.982
-85.203,1000,485.369
-81.448,1000,525.285
-77.692,1000,560.925
-77.34,1000,597.41
-76.988,1000,630.042
-76.635,1000,668.439
-76.282,1000,704.996
-75.929,1000,743.466
-76.453,1000,778.897
-76.977,1000,809.22
-77.501,1000,848.228
-78.024,1000,886.671
-78.547,1000,925.637
-77.324,1000,957.86
-76.1,1000,992.002
-74.876,1000,1028.731
-73.652,1000,1059.825
-72.427,1000,1095.577
-73.128,1000,1131.848
-73.83,1000,1162.948
-74.53,1000,1201.516
-75.231,1000,1234.591
-75.93,1000,1266.999
-76.832,1000,1303.223
-77.733,1000,1341.947
-78.634,1000,1377.109
-79.534,1000,1409.515
-80.434,1000,1448.668
-81.784,1000,1488.327
-83.135,1000,1519.332
-84.484,1000,1551.61
-85.834,1000,1590.532
-87.182,1000,1621.32
-82.472,1000,1652.934
-77.761,1000,1688.145
-73.049,1000,1718.467
-68.337,1000,1753.211
-63.625,1000,1788.295
-64.401,1000,1821.356
-65.177,1000,1855.812
-65.952,1000,1895.121
-66.727,1000,1931.785
-67.501,1000,1970.157
-71.49,1000,2006.198
-75.478,1000,2040.547
-79.465,1000,2075.399
-83.452,1000,2109.665
-87.438,1000,2141.928
-87.449,1000,2176.4
-87.459,1000,2211.203
-87.468,1000,2243.063
-87.477,1000,2281.153
-87.485,1000,2319.71
-82.214,1000,2356.418
-76.943,1000,2390.61
-71.671,1000,2426.773
-66.398,1000,2465.378
-61.125,1000,2503.43
-67.317,1000,2533.922
-73.508,1000,2569.218
-79.698,1000,2607.358
-85.888,1000,2645.952
-92.077,1000,2682.307
-90.479,1000,2718.625
-88.88,1000,2753.218
-87.281,1000,2789.398
-85.681,1000,2828.458
